cell_id,ecosystem,A - private registry configuration,B1 - package manager configuration,B2 - version specifier,C - pipeline operation type,valid?,invalid_reason
npm_A1b_B1b_B2c_C1b,nodejs,A1b,B1b,B2c,C1b,True,
npm_A1b_B1b_B2c_C1c,nodejs,A1b,B1b,B2c,C1c,True,
npm_A1b_B1c_B2a_C1a,nodejs,A1b,B1c,B2a,C1a,True,
npm_A1b_B1c_B2a_C1b,nodejs,A1b,B1c,B2a,C1b,True,
npm_A1b_B1c_B2a_C1c,nodejs,A1b,B1c,B2a,C1c,True,
npm_A1b_B1c_B2b_C1a,nodejs,A1b,B1c,B2b,C1a,True,
npm_A1b_B1c_B2b_C1b,nodejs,A1b,B1c,B2b,C1b,True,
npm_A1b_B1c_B2b_C1c,nodejs,A1b,B1c,B2b,C1c,True,
npm_A1b_B1c_B2c_C1a,nodejs,A1b,B1c,B2c,C1a,True,
npm_A1b_B1c_B2c_C1b,nodejs,A1b,B1c,B2c,C1b,True,
npm_A1b_B1c_B2c_C1c,nodejs,A1b,B1c,B2c,C1c,True,
npm_A1b_B1d_B2a_C1a,nodejs,A1b,B1d,B2a,C1a,True,
npm_A1b_B1d_B2a_C1b,nodejs,A1b,B1d,B2a,C1b,True,
npm_A1b_B1d_B2a_C1c,nodejs,A1b,B1d,B2a,C1c,True,
npm_A1b_B1d_B2b_C1a,nodejs,A1b,B1d,B2b,C1a,True,
npm_A1b_B1d_B2b_C1b,nodejs,A1b,B1d,B2b,C1b,True,
npm_A1b_B1d_B2b_C1c,nodejs,A1b,B1d,B2b,C1c,True,
npm_A1b_B1d_B2c_C1a,nodejs,A1b,B1d,B2c,C1a,True,
npm_A1b_B1d_B2c_C1b,nodejs,A1b,B1d,B2c,C1b,True,
npm_A1b_B1d_B2c_C1c,nodejs,A1b,B1d,B2c,C1c,True,
npm_A2_B1a_B2a_C1a,nodejs,A2,B1a,B2a,C1a,True,
npm_A2_B1a_B2a_C1b,nodejs,A2,B1a,B2a,C1b,True,
npm_A2_B1a_B2a_C1c,nodejs,A2,B1a,B2a,C1c,True,
npm_A2_B1a_B2b_C1a,nodejs,A2,B1a,B2b,C1a,True,
npm_A2_B1a_B2b_C1b,nodejs,A2,B1a,B2b,C1b,True,
npm_A2_B1a_B2b_C1c,nodejs,A2,B1a,B2b,C1c,True,
npm_A2_B1a_B2c_C1a,nodejs,A2,B1a,B2c,C1a,True,
npm_A2_B1a_B2c_C1b,nodejs,A2,B1a,B2c,C1b,True,
npm_A2_B1a_B2c_C1c,nodejs,A2,B1a,B2c,C1c,True,
npm_A2_B1b_B2a_C1a,nodejs,A2,B1b,B2a,C1a,True,
npm_A2_B1b_B2a_C1b,nodejs,A2,B1b,B2a,C1b,True,
npm_A2_B1b_B2a_C1c,nodejs,A2,B1b,B2a,C1c,True,
npm_A2_B1b_B2b_C1a,nodejs,A2,B1b,B2b,C1a,True,
npm_A2_B1b_B2b_C1b,nodejs,A2,B1b,B2b,C1b,True,
npm_A2_B1b_B2b_C1c,nodejs,A2,B1b,B2b,C1c,True,
npm_A2_B1b_B2c_C1a,nodejs,A2,B1b,B2c,C1a,True,
npm_A2_B1b_B2c_C1b,nodejs,A2,B1b,B2c,C1b,True,
npm_A2_B1b_B2c_C1c,nodejs,A2,B1b,B2c,C1c,True,
npm_A2_B1c_B2a_C1a,nodejs,A2,B1c,B2a,C1a,True,
npm_A2_B1c_B2a_C1b,nodejs,A2,B1c,B2a,C1b,True,
npm_A2_B1c_B2a_C1c,nodejs,A2,B1c,B2a,C1c,True,
npm_A2_B1c_B2b_C1a,nodejs,A2,B1c,B2b,C1a,True,
npm_A2_B1c_B2b_C1b,nodejs,A2,B1c,B2b,C1b,True,
npm_A2_B1c_B2b_C1c,nodejs,A2,B1c,B2b,C1c,True,
npm_A2_B1c_B2c_C1a,nodejs,A2,B1c,B2c,C1a,True,
npm_A2_B1c_B2c_C1b,nodejs,A2,B1c,B2c,C1b,True,
npm_A2_B1c_B2c_C1c,nodejs,A2,B1c,B2c,C1c,True,
npm_A2_B1d_B2a_C1a,nodejs,A2,B1d,B2a,C1a,True,
npm_A2_B1d_B2a_C1b,nodejs,A2,B1d,B2a,C1b,True,
npm_A2_B1d_B2a_C1c,nodejs,A2,B1d,B2a,C1c,True,
npm_A2_B1d_B2b_C1a,nodejs,A2,B1d,B2b,C1a,True,
npm_A2_B1d_B2b_C1b,nodejs,A2,B1d,B2b,C1b,True,
npm_A2_B1d_B2b_C1c,nodejs,A2,B1d,B2b,C1c,True,
npm_A2_B1d_B2c_C1a,nodejs,A2,B1d,B2c,C1a,True,
npm_A2_B1d_B2c_C1b,nodejs,A2,B1d,B2c,C1b,True,
npm_A2_B1d_B2c_C1c,nodejs,A2,B1d,B2c,C1c,True,
npm_A3_B1a_B2a_C1a,nodejs,A3,B1a,B2a,C1a,True,
npm_A3_B1a_B2a_C1b,nodejs,A3,B1a,B2a,C1b,True,
npm_A3_B1a_B2a_C1c,nodejs,A3,B1a,B2a,C1c,True,
npm_A3_B1a_B2b_C1a,nodejs,A3,B1a,B2b,C1a,True,
npm_A3_B1a_B2b_C1b,nodejs,A3,B1a,B2b,C1b,True,
npm_A3_B1a_B2b_C1c,nodejs,A3,B1a,B2b,C1c,True,
npm_A3_B1a_B2c_C1a,nodejs,A3,B1a,B2c,C1a,True,
npm_A3_B1a_B2c_C1b,nodejs,A3,B1a,B2c,C1b,True,
npm_A3_B1a_B2c_C1c,nodejs,A3,B1a,B2c,C1c,True,
npm_A3_B1b_B2a_C1a,nodejs,A3,B1b,B2a,C1a,True,
npm_A3_B1b_B2a_C1b,nodejs,A3,B1b,B2a,C1b,True,
npm_A3_B1b_B2a_C1c,nodejs,A3,B1b,B2a,C1c,True,
npm_A3_B1b_B2b_C1a,nodejs,A3,B1b,B2b,C1a,True,
npm_A3_B1b_B2b_C1b,nodejs,A3,B1b,B2b,C1b,True,
npm_A3_B1b_B2b_C1c,nodejs,A3,B1b,B2b,C1c,True,
npm_A3_B1b_B2c_C1a,nodejs,A3,B1b,B2c,C1a,True,
npm_A3_B1b_B2c_C1b,nodejs,A3,B1b,B2c,C1b,True,
npm_A3_B1b_B2c_C1c,nodejs,A3,B1b,B2c,C1c,True,
npm_A3_B1c_B2a_C1a,nodejs,A3,B1c,B2a,C1a,False,A3 doesn't have proxy repo
npm_A3_B1c_B2a_C1b,nodejs,A3,B1c,B2a,C1b,False,A3 doesn't have proxy repo
npm_A3_B1c_B2a_C1c,nodejs,A3,B1c,B2a,C1c,False,A3 doesn't have proxy repo
npm_A3_B1c_B2b_C1a,nodejs,A3,B1c,B2b,C1a,False,A3 doesn't have proxy repo
npm_A3_B1c_B2b_C1b,nodejs,A3,B1c,B2b,C1b,False,A3 doesn't have proxy repo
npm_A3_B1c_B2b_C1c,nodejs,A3,B1c,B2b,C1c,False,A3 doesn't have proxy repo
npm_A3_B1c_B2c_C1a,nodejs,A3,B1c,B2c,C1a,False,A3 doesn't have proxy repo
npm_A3_B1c_B2c_C1b,nodejs,A3,B1c,B2c,C1b,False,A3 doesn't have proxy repo
npm_A3_B1c_B2c_C1c,nodejs,A3,B1c,B2c,C1c,False,A3 doesn't have proxy repo
npm_A3_B1d_B2a_C1a,nodejs,A3,B1d,B2a,C1a,True,
npm_A3_B1d_B2a_C1b,nodejs,A3,B1d,B2a,C1b,True,
npm_A3_B1d_B2a_C1c,nodejs,A3,B1d,B2a,C1c,True,
npm_A3_B1d_B2b_C1a,nodejs,A3,B1d,B2b,C1a,True,
npm_A3_B1d_B2b_C1b,nodejs,A3,B1d,B2b,C1b,True,
npm_A3_B1d_B2b_C1c,nodejs,A3,B1d,B2b,C1c,True,
npm_A3_B1d_B2c_C1a,nodejs,A3,B1d,B2c,C1a,True,
npm_A3_B1d_B2c_C1b,nodejs,A3,B1d,B2c,C1b,True,
npm_A3_B1d_B2c_C1c,nodejs,A3,B1d,B2c,C1c,True,
pip_A1a_B1a_B2a_C1a,python,A1a,B1a,B2a,C1a,True,
pip_A1a_B1a_B2a_C1b,python,A1a,B1a,B2a,C1b,True,
pip_A1a_B1a_B2a_C1c,python,A1a,B1a,B2a,C1c,True,
pip_A1a_B1a_B2b_C1a,python,A1a,B1a,B2b,C1a,True,
pip_A1a_B1a_B2b_C1b,python,A1a,B1a,B2b,C1b,True,
pip_A1a_B1a_B2b_C1c,python,A1a,B1a,B2b,C1c,True,
pip_A1a_B1a_B2c_C1a,python,A1a,B1a,B2c,C1a,True,
pip_A1a_B1a_B2c_C1b,python,A1a,B1a,B2c,C1b,True,
pip_A1a_B1a_B2c_C1c,python,A1a,B1a,B2c,C1c,True,
pip_A1a_B1b_B2a_C1a,python,A1a,B1b,B2a,C1a,True,
pip_A1a_B1b_B2a_C1b,python,A1a,B1b,B2a,C1b,True,
pip_A1a_B1b_B2a_C1c,python,A1a,B1b,B2a,C1c,True,
pip_A1a_B1b_B2b_C1a,python,A1a,B1b,B2b,C1a,True,
pip_A1a_B1b_B2b_C1b,python,A1a,B1b,B2b,C1b,True,
pip_A1a_B1b_B2b_C1c,python,A1a,B1b,B2b,C1c,True,
pip_A1a_B1b_B2c_C1a,python,A1a,B1b,B2c,C1a,True,
pip_A1a_B1b_B2c_C1b,python,A1a,B1b,B2c,C1b,True,
pip_A1a_B1b_B2c_C1c,python,A1a,B1b,B2c,C1c,True,
pip_A1a_B1c_B2a_C1a,python,A1a,B1c,B2a,C1a,True,
pip_A1a_B1c_B2a_C1b,python,A1a,B1c,B2a,C1b,True,
pip_A1a_B1c_B2a_C1c,python,A1a,B1c,B2a,C1c,True,
pip_A1a_B1c_B2b_C1a,python,A1a,B1c,B2b,C1a,True,
pip_A1a_B1c_B2b_C1b,python,A1a,B1c,B2b,C1b,True,
pip_A1a_B1c_B2b_C1c,python,A1a,B1c,B2b,C1c,True,
pip_A1a_B1c_B2c_C1a,python,A1a,B1c,B2c,C1a,True,
pip_A1a_B1c_B2c_C1b,python,A1a,B1c,B2c,C1b,True,
pip_A1a_B1c_B2c_C1c,python,A1a,B1c,B2c,C1c,True,
pip_A1a_B1d_B2a_C1a,python,A1a,B1d,B2a,C1a,True,
pip_A1a_B1d_B2a_C1b,python,A1a,B1d,B2a,C1b,True,
pip_A1a_B1d_B2a_C1c,python,A1a,B1d,B2a,C1c,True,
pip_A1a_B1d_B2b_C1a,python,A1a,B1d,B2b,C1a,True,
pip_A1a_B1d_B2b_C1b,python,A1a,B1d,B2b,C1b,True,
pip_A1a_B1d_B2b_C1c,python,A1a,B1d,B2b,C1c,True,
pip_A1a_B1d_B2c_C1a,python,A1a,B1d,B2c,C1a,True,
pip_A1a_B1d_B2c_C1b,python,A1a,B1d,B2c,C1b,True,
pip_A1a_B1d_B2c_C1c,python,A1a,B1d,B2c,C1c,True,
pip_A1b_B1a_B2a_C1a,python,A1b,B1a,B2a,C1a,True,
pip_A1b_B1a_B2a_C1b,python,A1b,B1a,B2a,C1b,True,
pip_A1b_B1a_B2a_C1c,python,A1b,B1a,B2a,C1c,True,
pip_A1b_B1a_B2b_C1a,python,A1b,B1a,B2b,C1a,True,
pip_A1b_B1a_B2b_C1b,python,A1b,B1a,B2b,C1b,True,
pip_A1b_B1a_B2b_C1c,python,A1b,B1a,B2b,C1c,True,
pip_A1b_B1a_B2c_C1a,python,A1b,B1a,B2c,C1a,True,
pip_A1b_B1a_B2c_C1b,python,A1b,B1a,B2c,C1b,True,
pip_A1b_B1a_B2c_C1c,python,A1b,B1a,B2c,C1c,True,
pip_A1b_B1b_B2a_C1a,python,A1b,B1b,B2a,C1a,True,
pip_A1b_B1b_B2a_C1b,python,A1b,B1b,B2a,C1b,True,
pip_A1b_B1b_B2a_C1c,python,A1b,B1b,B2a,C1c,True,
pip_A1b_B1b_B2b_C1a,python,A1b,B1b,B2b,C1a,True,
pip_A1b_B1b_B2b_C1b,python,A1b,B1b,B2b,C1b,True,
pip_A1b_B1b_B2b_C1c,python,A1b,B1b,B2b,C1c,True,
pip_A1b_B1b_B2c_C1a,python,A1b,B1b,B2c,C1a,True,
pip_A1b_B1b_B2c_C1b,python,A1b,B1b,B2c,C1b,True,
pip_A1b_B1b_B2c_C1c,python,A1b,B1b,B2c,C1c,True,
pip_A1b_B1c_B2a_C1a,python,A1b,B1c,B2a,C1a,True,
pip_A1b_B1c_B2a_C1b,python,A1b,B1c,B2a,C1b,True,
pip_A1b_B1c_B2a_C1c,python,A1b,B1c,B2a,C1c,True,
pip_A1b_B1c_B2b_C1a,python,A1b,B1c,B2b,C1a,True,
pip_A1b_B1c_B2b_C1b,python,A1b,B1c,B2b,C1b,True,
pip_A1b_B1c_B2b_C1c,python,A1b,B1c,B2b,C1c,True,
pip_A1b_B1c_B2c_C1a,python,A1b,B1c,B2c,C1a,True,
pip_A1b_B1c_B2c_C1b,python,A1b,B1c,B2c,C1b,True,
pip_A1b_B1c_B2c_C1c,python,A1b,B1c,B2c,C1c,True,
pip_A1b_B1d_B2a_C1a,python,A1b,B1d,B2a,C1a,True,
pip_A1b_B1d_B2a_C1b,python,A1b,B1d,B2a,C1b,True,
pip_A1b_B1d_B2a_C1c,python,A1b,B1d,B2a,C1c,True,
pip_A1b_B1d_B2b_C1a,python,A1b,B1d,B2b,C1a,True,
pip_A1b_B1d_B2b_C1b,python,A1b,B1d,B2b,C1b,True,
pip_A1b_B1d_B2b_C1c,python,A1b,B1d,B2b,C1c,True,
pip_A1b_B1d_B2c_C1a,python,A1b,B1d,B2c,C1a,True,
pip_A1b_B1d_B2c_C1b,python,A1b,B1d,B2c,C1b,True,
pip_A1b_B1d_B2c_C1c,python,A1b,B1d,B2c,C1c,True,
pip_A2_B1a_B2a_C1a,python,A2,B1a,B2a,C1a,True,
pip_A2_B1a_B2a_C1b,python,A2,B1a,B2a,C1b,True,
pip_A2_B1a_B2a_C1c,python,A2,B1a,B2a,C1c,True,
pip_A2_B1a_B2b_C1a,python,A2,B1a,B2b,C1a,True,
pip_A2_B1a_B2b_C1b,python,A2,B1a,B2b,C1b,True,
pip_A2_B1a_B2b_C1c,python,A2,B1a,B2b,C1c,True,
pip_A2_B1a_B2c_C1a,python,A2,B1a,B2c,C1a,True,
pip_A2_B1a_B2c_C1b,python,A2,B1a,B2c,C1b,True,
pip_A2_B1a_B2c_C1c,python,A2,B1a,B2c,C1c,True,
pip_A2_B1b_B2a_C1a,python,A2,B1b,B2a,C1a,True,
pip_A2_B1b_B2a_C1b,python,A2,B1b,B2a,C1b,True,
pip_A2_B1b_B2a_C1c,python,A2,B1b,B2a,C1c,True,
pip_A2_B1b_B2b_C1a,python,A2,B1b,B2b,C1a,True,
pip_A2_B1b_B2b_C1b,python,A2,B1b,B2b,C1b,True,
pip_A2_B1b_B2b_C1c,python,A2,B1b,B2b,C1c,True,
pip_A2_B1b_B2c_C1a,python,A2,B1b,B2c,C1a,True,
pip_A2_B1b_B2c_C1b,python,A2,B1b,B2c,C1b,True,
pip_A2_B1b_B2c_C1c,python,A2,B1b,B2c,C1c,True,
pip_A2_B1c_B2a_C1a,python,A2,B1c,B2a,C1a,True,
pip_A2_B1c_B2a_C1b,python,A2,B1c,B2a,C1b,True,
pip_A2_B1c_B2a_C1c,python,A2,B1c,B2a,C1c,True,
pip_A2_B1c_B2b_C1a,python,A2,B1c,B2b,C1a,True,
pip_A2_B1c_B2b_C1b,python,A2,B1c,B2b,C1b,True,
pip_A2_B1c_B2b_C1c,python,A2,B1c,B2b,C1c,True,
pip_A2_B1c_B2c_C1a,python,A2,B1c,B2c,C1a,True,
pip_A2_B1c_B2c_C1b,python,A2,B1c,B2c,C1b,True,
pip_A2_B1c_B2c_C1c,python,A2,B1c,B2c,C1c,True,
pip_A2_B1d_B2a_C1a,python,A2,B1d,B2a,C1a,True,
pip_A2_B1d_B2a_C1b,python,A2,B1d,B2a,C1b,True,
pip_A2_B1d_B2a_C1c,python,A2,B1d,B2a,C1c,True,
pip_A2_B1d_B2b_C1a,python,A2,B1d,B2b,C1a,True,
pip_A2_B1d_B2b_C1b,python,A2,B1d,B2b,C1b,True,
pip_A2_B1d_B2b_C1c,python,A2,B1d,B2b,C1c,True,
pip_A2_B1d_B2c_C1a,python,A2,B1d,B2c,C1a,True,
pip_A2_B1d_B2c_C1b,python,A2,B1d,B2c,C1b,True,
pip_A2_B1d_B2c_C1c,python,A2,B1d,B2c,C1c,True,
pip_A3_B1a_B2a_C1a,python,A3,B1a,B2a,C1a,True,
pip_A3_B1a_B2a_C1b,python,A3,B1a,B2a,C1b,True,
pip_A3_B1a_B2a_C1c,python,A3,B1a,B2a,C1c,True,
pip_A3_B1a_B2b_C1a,python,A3,B1a,B2b,C1a,True,
pip_A3_B1a_B2b_C1b,python,A3,B1a,B2b,C1b,True,
pip_A3_B1a_B2b_C1c,python,A3,B1a,B2b,C1c,True,
pip_A3_B1a_B2c_C1a,python,A3,B1a,B2c,C1a,True,
pip_A3_B1a_B2c_C1b,python,A3,B1a,B2c,C1b,True,
pip_A3_B1a_B2c_C1c,python,A3,B1a,B2c,C1c,True,
pip_A3_B1b_B2a_C1a,python,A3,B1b,B2a,C1a,True,
pip_A3_B1b_B2a_C1b,python,A3,B1b,B2a,C1b,True,
pip_A3_B1b_B2a_C1c,python,A3,B1b,B2a,C1c,True,
pip_A3_B1b_B2b_C1a,python,A3,B1b,B2b,C1a,True,
pip_A3_B1b_B2b_C1b,python,A3,B1b,B2b,C1b,True,
pip_A3_B1b_B2b_C1c,python,A3,B1b,B2b,C1c,True,
pip_A3_B1b_B2c_C1a,python,A3,B1b,B2c,C1a,True,
pip_A3_B1b_B2c_C1b,python,A3,B1b,B2c,C1b,True,
pip_A3_B1b_B2c_C1c,python,A3,B1b,B2c,C1c,True,
pip_A3_B1c_B2a_C1a,python,A3,B1c,B2a,C1a,False,A3 doesn't have proxy repo
pip_A3_B1c_B2a_C1b,python,A3,B1c,B2a,C1b,False,A3 doesn't have proxy repo
pip_A3_B1c_B2a_C1c,python,A3,B1c,B2a,C1c,False,A3 doesn't have proxy repo
pip_A3_B1c_B2b_C1a,python,A3,B1c,B2b,C1a,False,A3 doesn't have proxy repo
pip_A3_B1c_B2b_C1b,python,A3,B1c,B2b,C1b,False,A3 doesn't have proxy repo
pip_A3_B1c_B2b_C1c,python,A3,B1c,B2b,C1c,False,A3 doesn't have proxy repo
pip_A3_B1c_B2c_C1a,python,A3,B1c,B2c,C1a,False,A3 doesn't have proxy repo
pip_A3_B1c_B2c_C1b,python,A3,B1c,B2c,C1b,False,A3 doesn't have proxy repo
pip_A3_B1c_B2c_C1c,python,A3,B1c,B2c,C1c,False,A3 doesn't have proxy repo
pip_A3_B1d_B2a_C1a,python,A3,B1d,B2a,C1a,True,
pip_A3_B1d_B2a_C1b,python,A3,B1d,B2a,C1b,True,
pip_A3_B1d_B2a_C1c,python,A3,B1d,B2a,C1c,True,
pip_A3_B1d_B2b_C1a,python,A3,B1d,B2b,C1a,True,
pip_A3_B1d_B2b_C1b,python,A3,B1d,B2b,C1b,True,
pip_A3_B1d_B2b_C1c,python,A3,B1d,B2b,C1c,True,
pip_A3_B1d_B2c_C1a,python,A3,B1d,B2c,C1a,True,
pip_A3_B1d_B2c_C1b,python,A3,B1d,B2c,C1b,True,
pip_A3_B1d_B2c_C1c,python,A3,B1d,B2c,C1c,True,
mvn_A1a_B1a_B2a_C1a,java,A1a,B1a,B2a,C1a,True,
mvn_A1a_B1a_B2a_C1b,java,A1a,B1a,B2a,C1b,True,
mvn_A1a_B1a_B2a_C1c,java,A1a,B1a,B2a,C1c,True,
mvn_A1a_B1a_B2b_C1a,java,A1a,B1a,B2b,C1a,True,
mvn_A1a_B1a_B2b_C1b,java,A1a,B1a,B2b,C1b,True,
mvn_A1a_B1a_B2b_C1c,java,A1a,B1a,B2b,C1c,True,
mvn_A1a_B1a_B2c_C1a,java,A1a,B1a,B2c,C1a,False,the version must be specified in each maven dependencies / plugin. maven can't express unspecified version
mvn_A1a_B1a_B2c_C1b,java,A1a,B1a,B2c,C1b,False,the version must be specified in each maven dependencies / plugin. maven can't express unspecified version
mvn_A1a_B1a_B2c_C1c,java,A1a,B1a,B2c,C1c,False,the version must be specified in each maven dependencies / plugin. maven can't express unspecified version
mvn_A1a_B1b_B2a_C1a,java,A1a,B1b,B2a,C1a,True,
mvn_A1a_B1b_B2a_C1b,java,A1a,B1b,B2a,C1b,True,
mvn_A1a_B1b_B2a_C1c,java,A1a,B1b,B2a,C1c,True,
mvn_A1a_B1b_B2b_C1a,java,A1a,B1b,B2b,C1a,True,
mvn_A1a_B1b_B2b_C1b,java,A1a,B1b,B2b,C1b,True,
mvn_A1a_B1b_B2b_C1c,java,A1a,B1b,B2b,C1c,True,
mvn_A1a_B1b_B2c_C1a,java,A1a,B1b,B2c,C1a,False,the version must be specified in each maven dependencies / plugin. maven can't express unspecified version
mvn_A1a_B1b_B2c_C1b,java,A1a,B1b,B2c,C1b,False,the version must be specified in each maven dependencies / plugin. maven can't express unspecified version
mvn_A1a_B1b_B2c_C1c,java,A1a,B1b,B2c,C1c,False,the version must be specified in each maven dependencies / plugin. maven can't express unspecified version
mvn_A1a_B1c_B2a_C1a,java,A1a,B1c,B2a,C1a,True,
mvn_A1a_B1c_B2a_C1b,java,A1a,B1c,B2a,C1b,True,
mvn_A1a_B1c_B2a_C1c,java,A1a,B1c,B2a,C1c,True,
mvn_A1a_B1c_B2b_C1a,java,A1a,B1c,B2b,C1a,True,
mvn_A1a_B1c_B2b_C1b,java,A1a,B1c,B2b,C1b,True,
mvn_A1a_B1c_B2b_C1c,java,A1a,B1c,B2b,C1c,True,
mvn_A1a_B1c_B2c_C1a,java,A1a,B1c,B2c,C1a,False,the version must be specified in each maven dependencies / plugin. maven can't express unspecified version
mvn_A1a_B1c_B2c_C1b,java,A1a,B1c,B2c,C1b,False,the version must be specified in each maven dependencies / plugin. maven can't express unspecified version
mvn_A1a_B1c_B2c_C1c,java,A1a,B1c,B2c,C1c,False,the version must be specified in each maven dependencies / plugin. maven can't express unspecified version
mvn_A1a_B1d_B2a_C1a,java,A1a,B1d,B2a,C1a,True,
mvn_A1a_B1d_B2a_C1b,java,A1a,B1d,B2a,C1b,True,
mvn_A1a_B1d_B2a_C1c,java,A1a,B1d,B2a,C1c,True,
mvn_A1a_B1d_B2b_C1a,java,A1a,B1d,B2b,C1a,True,
mvn_A1a_B1d_B2b_C1b,java,A1a,B1d,B2b,C1b,True,
mvn_A1a_B1d_B2b_C1c,java,A1a,B1d,B2b,C1c,True,
mvn_A1a_B1d_B2c_C1a,java,A1a,B1d,B2c,C1a,False,the version must be specified in each maven dependencies / plugin. maven can't express unspecified version
mvn_A1a_B1d_B2c_C1b,java,A1a,B1d,B2c,C1b,False,the version must be specified in each maven dependencies / plugin. maven can't express unspecified version
mvn_A1a_B1d_B2c_C1c,java,A1a,B1d,B2c,C1c,False,the version must be specified in each maven dependencies / plugin. maven can't express unspecified version
mvn_A1b_B1a_B2a_C1a,java,A1b,B1a,B2a,C1a,True,
mvn_A1b_B1a_B2a_C1b,java,A1b,B1a,B2a,C1b,True,
mvn_A1b_B1a_B2a_C1c,java,A1b,B1a,B2a,C1c,True,
